Module,Name,Price,Links
Microcontroller,xiao esp32 c3,$4.99,https://www.seeedstudio.com/Seeed-XIAO-ESP32C3-p-5431.html
Display,"DIYTZT 1.5"" 1.5 inch Full Color OLED Screen LCD LED Display Module 128x128 SPI Serial Port Interface SSD1351 Controller 128*128",$17.51,https://www.aliexpress.us/item/3256808685585558.html?aff_fcid=ef88e4ec3c92465f8f1321f6d2c2ebce-1760102268492-07414-_DeD1psH&tt=CPS_NORMAL&aff_fsk=_DeD1psH&aff_platform=portals-tool&sk=_DeD1psH&aff_trace_key=ef88e4ec3c92465f8f1321f6d2c2ebce-1760102268492-07414-_DeD1psH&terminal_id=dc486a17f17443e8aeae05e5851fc073&afSmartRedirect=y&gatewayAdapt=glo2usa4itemAdapt
Joystick,Alps Variable Resistance Type Multi Function Operating Device Stick Controller Rkjxk / Rkjxv Series RKJXV1224005,$6.61,https://www.aliexpress.us/item/3256801834173346.html?gatewayAdapt=glo2usa4itemAdapt
Battery,3.7V 1200mAh Lipo Lithium Polymer Rechargeable Battery 703450,$1.06,https://www.aliexpress.com/p/tesla-landing/index.html?scenario=c_ppc_item_bridge&productId=32529805701&_immersiveMode=true&withMainCard=true&src=google&aff_platform=true&isdl=y&src=google&albch=shopping&acnt=615-992-9880&isdl=y&slnk=&plac=&mtctp=&albbt=Google_7_shopping&aff_platform=google&aff_short_key=_oFgTQeV&gclsrc=aw.ds&&albagn=888888&&ds_e_adid=&ds_e_matchtype=&ds_e_device=c&ds_e_network=x&ds_e_product_group_id=&ds_e_product_id=en32529805701&ds_e_product_merchant_id=107689728&ds_e_product_country=RO&ds_e_product_language=en&ds_e_product_channel=online&ds_e_product_store_id=&ds_url_v=2&albcp=22587236288&albag=&isSmbAutoCall=false&needSmbHouyi=false&gad_source=1&gad_campaignid=22580914056&gbraid=0AAAAA_TvRHoCj9Le6F1W1kgS9LQQrg9us&gclid=Cj0KCQjw3aLHBhDTARIsAIRij5-SubIuqdypv124DI8d4Ex-Ay-mY3c5jfqmbJrNXZFwUukH1UmYGJwaAgPpEALw_wcB
Button,Kailh Choc Low Profile Switch 1350,$7.67,https://www.aliexpress.com/p/tesla-landing/index.html?scenario=c_ppc_item_bridge&productId=1005008806799106&_immersiveMode=true&withMainCard=true&src=google&aff_platform=true&isdl=y&src=google&albch=shopping&acnt=615-992-9880&isdl=y&slnk=&plac=&mtctp=&albbt=Google_7_shopping&aff_platform=google&aff_short_key=_oFgTQeV&gclsrc=aw.ds&&albagn=888888&&ds_e_adid=&ds_e_matchtype=&ds_e_device=c&ds_e_network=x&ds_e_product_group_id=&ds_e_product_id=en1005008806799106&ds_e_product_merchant_id=400542033&ds_e_product_country=RO&ds_e_product_language=en&ds_e_product_channel=online&ds_e_product_store_id=&ds_url_v=2&albcp=22587236288&albag=&isSmbAutoCall=false&needSmbHouyi=false&gad_source=1&gad_campaignid=22580914056&gbraid=0AAAAA_TvRHoCj9Le6F1W1kgS9LQQrg9us&gclid=Cj0KCQjw3aLHBhDTARIsAIRij59DSLblcy5N6_xJPo_R8fTYDKIBhtYkdVT_YUzPSVDXZUbBIpZbNJoaAoWuEALw_wcB
Switch,EG1271A switch,$1.15,https://www.aliexpress.com/item/1005009447848008.html?spm=a2g0o.cart.0.0.11fd38da6S3zYS&mp=1&pdp_npi=5%40dis%21USD%21USD%201.21%21USD%201.15%21%21USD%201.15%21%21%21%40211b612817613161289648420edb71%2112000049129959789%21ct%21RO%213942208773%21%211%210
PCB,custom PCB,$2,https://jlcpcb.com
,,,
total without shipping:,,$40.99,
,,,
Shipping:,,,
5 modules from aliexpress:,$14,,
PCB:,$3,,
Microcontroller:,$7,,
total:,$24,,
,,,
TOTAL:,$65,,
